Attack1010Repeat1.txt,radius,activeArcs_record,C0a,Yoptimal_record,x,y
,,222,4.96106,0,29.33,22.275
,,223,3.8246,0,32.13,18.9
,,224,13.6418,0.00464222,34.16,26.5
,,225,7.78636,0.0331394,34.475,22.225
,,226,7.7346,0.0434226,34.615,21.85
,,227,3.8246,0,32.13,18.9
,,228,6.60927,0,33.425,14.05
,,229,8.13748,0.0335743,35.595,20.675
,,230,7.71433,0.0141402,35.735,20.3
,,231,5.32211,0.00815387,35.91,17.425
,,232,6.60927,0,33.425,14.05
,,233,4.15944,0,33.74,8.675
,,234,13.3265,0.0156794,35.91,17
,,235,8.38233,0.00389629,36.085,14.125
,,236,5.87555,0.0263775,36.155,9.3
,,237,4.15944,0,33.74,8.675
,,238,11.8662,0.00670213,36.225,12.05
,,239,4.98913,0.0578437,36.295,7.225
,,240,2.02485,0,34.51,48.15
,,241,5.22062,0.0390432,36.75,49.425
,,242,5.46092,0.0971732,36.89,49.15
,,243,2.02485,0,34.51,48.15
,,244,4.40478,0,35.665,45.15
,,245,5.15489,0.0464464,37.1,48.475
,,246,5.1631,0.0969059,37.24,48.2
,,247,14.0405,0,37.45,40.675
,,248,4.40478,0,35.665,45.15
,,249,1.15213,0,36.505,42.525
,,250,6.86531,0.097299,38.045,46.15
,,251,9.63574,0.047862,38.255,38.625
,,252,17.2801,0.00714729,38.955,34.825
,,253,1.15213,0.0763278,36.505,42.525
,,254,8.78381,0,36.925,37.575
,,255,8.54927,0,38.29,38.05
,,256,16.1608,0.00899729,38.99,34.25
,,257,18.4709,0.0313988,39.095,33.075
,,258,8.78381,0,36.925,37.575
,,259,0.65,0,37.31,32.875
,,260,7.82812,0.0608872,39.375,29.875
,,261,9.99178,0.0146768,39.48,28.7
,,262,18.0312,0.0105393,39.935,24.575
,,263,0.65,0,37.31,32.875
,,264,8.57318,0,37.625,28.275
,,265,9.41053,0.0334111,39.48,28.375
,,266,17.4104,0.0355888,39.935,24.25
,,267,17.8607,0.0286092,39.97,24.025
,,268,8.57318,0,37.625,28.275
,,269,0.800562,0,38.08,23.625
,,270,9.28154,0.0635971,40.25,19.975
,,271,9.70804,0.0741383,40.285,19.75
,,272,18.3954,0.0300636,40.355,15.125
,,273,0.800562,0,38.08,23.625
,,274,5.76064,0,38.395,20.375
,,275,8.91687,0.0433566,40.425,19.375
,,276,17.5984,0.0222159,40.495,14.75
,,277,19.9325,0.00766976,40.985,13.675
,,278,5.76064,0,38.395,20.375
,,279,9.65102,0,38.64,12.675
,,280,12.0084,0.00646218,40.67,11.875
,,281,14.3664,0.00102018,41.16,10.8
,,282,17.3325,0.0112699,41.3,9.275
,,283,9.65102,0,38.64,12.675
,,284,6.28205,0.0121586,41.23,5.975
,,285,8.63379,0.0720626,41.37,4.45
,,286,0.617171,0,39.48,49.475
,,287,5.39371,0.022974,42.035,49.65
,,288,7.50627,0.0625156,42.735,48.15
,,289,0.617171,0,39.48,49.475
,,290,15.0559,0,39.83,41.675
,,291,5.12197,0.020852,42.175,49.375
,,292,7.0287,0.171372,42.875,47.875
,,293,7.44301,0.0991539,42.98,47.6
,,294,15.0559,0,39.83,41.675
,,295,7.72787,0,40.74,30.35
,,296,13.8148,0.0114136,43.085,40.35
,,297,13.4206,0.0218339,43.19,40.075
,,298,11.6771,0.0146146,43.435,38.9
,,299,7.72787,0,40.74,30.35
,,300,2.35936,0,41.545,25.375
,,301,20.0577,0.0192266,43.89,36.275
,,302,17.9294,0,44.135,35.1
,,303,8.99441,0.0578051,44.625,29.725
,,304,2.35936,0,41.545,25.375
,,305,8.30004,0,42.105,20.075
,,306,20.128,0.0334281,44.24,33.925
,,307,10.66,0.0158501,44.73,28.55
,,308,8.20936,0.0302084,45.43,25.8
,,309,8.30004,0,42.105,20.075
,,310,0.455412,0.0148642,42.595,15.725
,,311,17.7444,0.021484,45.185,24.425
,,312,13.241,0.0217227,45.885,21.675
,,313,12.9077,0.0516542,46.515,10.85
,,314,0.455412,0,42.595,15.725
,,315,9.25106,0,42.7,10.875
,,316,13.598,0.0353697,45.92,21.45
,,317,12.5111,0,46.55,10.625
,,318,12.9593,0.125599,46.69,10.45
,,319,9.25106,0,42.7,10.875
,,320,2.36282,0,43.26,5.175
,,321,7.71622,0.0587023,46.62,6
,,322,8.02514,0,46.76,5.825
,,323,9.90735,3.94E-05,47.6,5.15
,,324,2.36282,0,43.26,5.175
,,325,3.06283,0,43.89,2.575
,,326,7.11969,0,47.25,4.75
,,327,8.68014,0.00887164,48.09,4.075
,,328,9.78899,0.0119769,48.44,2.7
,,329,3.06283,0,43.89,2.575
,,330,8.91964,0.0594545,48.23,2.55
,,331,9.10343,0.023878,48.58,1.175
,,332,3.31059,0,45.43,48.05
,,333,11.5997,0,49,45.625
,,334,15.5049,0.0438259,49.105,43.15
,,335,3.31059,0,45.43,48.05
,,336,0.588727,0,46.235,46.275
,,337,8.63146,0.110134,49.7,44.125
,,338,12.25,0.0828213,49.805,41.65
,,339,18.0153,0.052346,50.365,38.6
,,340,0.588727,0,46.235,46.275
,,341,2.40054,0,46.585,44.825
,,342,11.6851,0.0533659,49.91,41.375
,,343,17.4313,0.0868485,50.47,38.325
,,344,32.2262,0,51.24,30.65
,,345,2.40054,0,46.585,44.825
,,346,10.7946,0,47.32,38.275
,,347,15.1451,0.0313462,50.715,37.15
,,348,29.8395,0.0164094,51.485,29.475
,,349,32.6286,0.000287019,51.765,28.1
,,350,10.7946,0,47.32,38.275
,,351,5.67539,0,48.51,30.15
,,352,19.4717,0.0325477,51.975,24.1
,,353,22.2071,0.0344702,52.255,22.725
,,354,25.0352,0.0281213,52.325,21.225
,,355,5.67539,0,48.51,30.15
,,356,21.6866,0,49.84,16.575
,,357,16.632,0.0111315,52.955,19.975
,,358,19.4124,0.0367471,53.025,18.475
,,359,22.5405,0.0394222,53.305,16.9
,,360,21.6866,0,49.84,16.575
,,361,0.448219,0,50.61,5.575
,,362,7.41734,0.0155827,53.655,7.65
,,363,6.96042,0,53.935,6.075
,,364,6.93018,0.0947738,53.935,5.775
,,365,0.448219,0,50.61,5.575
,,366,2.1552,0,51.59,4.725
,,367,6.72477,0.082488,54.075,5.9
,,368,6.66202,0,54.075,5.6
,,369,7.29715,0.0431107,54.39,5.15
,,370,2.1552,0,51.59,4.725
,,371,2.83769,0,52.78,2.675
,,372,5.2691,0.0134578,54.915,4.925
,,373,5.66414,0.0250155,55.23,4.475
,,374,6.30179,0.0298923,55.58,3.975
,,375,2.83769,0,52.78,2.675
,,376,6.0803,0.0184561,55.58,3.1
,,377,6.17414,0.0173989,55.93,2.6
,,378,4.95445,0,53.375,39.225
,,379,6.67629,0.0355641,56.385,42.9
,,380,7.02033,0.0745701,56.595,40.575
,,381,4.95445,0,53.375,39.225
,,382,6.20197,0,54.04,33.7
,,383,9.50068,0.0332452,56.49,40.425
,,384,6.98309,0.101955,56.7,38.1
,,385,6.64126,0.0448128,56.77,37.2
,,386,6.20197,0,54.04,33.7
,,387,15.4271,0,55.37,22.975
,,388,10.2831,0.00418594,57.26,35.05
,,389,8.87759,0.0660973,57.33,34.15
,,390,6.59303,0.100258,57.68,31.825
,,391,15.4271,0,55.37,22.975
,,392,2.80644,0,56.42,13.925
,,393,22.6912,0.0167999,58.1,26.475
,,394,18.293,0.0097043,58.45,24.15
,,395,17.4103,0.0224529,59.85,23.175
,,396,2.80644,0,56.42,13.925
,,397,3.00326,0,56.77,11.05
,,398,20.8491,0,58.73,22.775
,,399,19.7309,0.0178083,60.13,21.8
,,400,18.2243,0.0280805,60.725,20.725
,,401,3.00326,0,56.77,11.05
,,402,3.19939,0,57.12,7.975
,,403,22.5257,0.0063827,60.2,20.3
,,404,20.9043,0.0319073,60.795,19.225
,,405,11.4643,0.0421611,60.97,13.525
,,406,3.19939,0,57.12,7.975
,,407,0.6,0,57.4,6.1
,,408,23.6701,0.0197589,61.075,17.65
,,409,13.5093,0.0253206,61.25,11.95
,,410,12.3537,0.0768307,61.81,10.725
,,411,0.6,0,57.4,6.1
,,412,1.09859,0,57.715,5.35
,,413,14.0064,0.0868671,61.25,11.65
,,414,12.781,0.0188734,61.81,10.425
,,415,12.9697,0.00249102,63.175,8.75
,,416,1.09859,0,57.715,5.35
,,417,1.22066,0,58.38,4.4
,,418,13.0422,0.0641406,62.125,9.975
,,419,12.8642,0,63.49,8.3
,,420,11.5809,0.0224416,63.595,6.5
,,421,1.22066,0,58.38,4.4
,,422,12.8565,0.0355339,63.84,7.8
,,423,11.2439,0.0117572,63.945,6
,,424,4.66893,0,59.71,41.775
,,425,25.3617,0.0688093,64.33,32.375
,,426,4.66893,0,59.71,41.775
,,427,1.80544,0,59.99,38.55
,,428,20.948,0.180711,64.54,30.05
,,429,1.80544,0,59.99,38.55
,,430,4.70239,0,60.41,35.325
,,431,19.2824,0.12771,64.61,29.15
,,432,4.70239,0,60.41,35.325
,,433,3.41211,0,62.16,32.025
,,434,14.9359,0.109962,64.96,26.825
,,435,3.41211,0,62.16,32.025
,,436,2.45736,0,64.155,29.975
,,437,11.8119,0.0466439,66.36,25.85
,,438,2.45736,0,64.155,29.975
,,439,11.4054,0,64.925,23.2
,,440,9.35471,0.0797466,66.955,24.775
,,441,11.4054,0,64.925,23.2
,,442,2.69386,0,65.66,16.275
,,443,5.13869,0.154349,67.13,19.075
,,444,2.69386,0,65.66,16.275
,,445,4.3215,0,67.585,13.375
,,446,6.32484,0.159845,67.69,17.85
,,447,4.3215,0,67.585,13.375
,,448,3.60612,0,69.055,9.9
,,449,8.95246,0.0380249,69.055,16.175
,,450,3.60612,0,69.055,9.9
,,451,12.55,0.0341989,69.16,14.375
